news,class
inaugurated consulate city laâyoune dakhla ,true
respect term ceasefire military agreement ,false
bir lehlou tifariti located moroccan military wall respectively ,false
benjaafar said prevailing tension surprise frente polisario warned ,false
adoption un security council resolution western sahara april therefore opportunity address root cause current situation ,false
moroccan authority intensified harassment sahrawi human right defender surveillance prominent human right defender ,false
sidi mohamed omar underlined general assembly resolution come reiterate sahrawi people unchanging right independence accordance principle contained un charter also strengthen position international organization sahrawi cause decolonization issue agenda commission special committee charge studying situation concerning implementation declaration granting independence colonial people country ,false
sahrawi ambassador said withdrawal nato map morocco included part western sahara replacing another clearly delineating internationally recognized border morocco western sahara hard blow moroccan regime ,false
one founder polisario front ,false
also director tangier campus university new england author several book politics history ,true
morocco claim bir lehlou tifariti un team site located within buffer zone false ,false
kind demand simply prolongs unnecessary tension lead nowhere ,true
time government local authority fully put plan motion ,true
international community tightens noose around moroccan regime ,false
morocco engaged incendiary threat war intimidation tactic ,false
since ceasefire frente polisario administering developing sahrawi liberated territory control ,false
military region unit sahrawi liberation army spla always present western sahara since start liberation war spanish colonial presence ,false
taleb omar also expressed regret image propagated outgoing president donald trump ,false
take lot concerted effort cooperation country region morocco ,true
located occupied territory western sahara west military wall ,false
say since kingdom recovery southern province ,true
neighboring country could stop giving refuge separatist ,true
concentrated bombardment enemy force entrenched adeim um ajlud region ,false
appointed minister occupied territory ,false
sahrawi ambassador expressed pride support force sahrawi cause ,false
constitutes serious violation charter united nation international law ,true
special representative western sahara william swing numerous member united nation mission referendum western sahara minurso received area ,false
royal speech green march ,true
intended democratic ,true
urged moroccan occupier guarantee circumstance physical psychological integrity sahrawi activist mahfouda bamba lefkir ,false
morocco submitted autonomy plan rejected sahrawi people ,false
organized algerian woman forum headquarters sahrawi embassy algeria ,false
notably broad medium coverage military operation ,false
said frente polisario condemns strongest term ,false
conasadh also expressed solidarity sahrawi political prisoner ,false
establishes moroccan military wall line separation sahrawi moroccan army pending holding determination referendum determine final status territory ,false
member platform also commend positive impact american decision opening consulate general dakhla aiming promoting investment region ,true
makhzen tried create outcry invest first nato map initially include internationally recognized border morocco western sahara ,false
senior official foreign delegation representing european ,false
including judicial level ,false
opened door maghreb region zionist entity ,false
necessary clarify following ,false
competent impartial tribunal ,false
terrorist organization infiltrated ,true
interview russian radio sputnik monday ,false
national parliament ,false
abuse daily practice suffered civilian sahrawis occupied sahrawi city dakhla refugee camp ,false
eager intimidate african state statement recalling ambassador ,true
relevant un agreement would fall apart ,false
result illegal delegation ,true
abandon dogmatic position commit continuing participation spirit realism compromise un round table process ensure successful outcome ,true
algeria could easily play key role resolving dispute moroccan sahara ,true
warrant officer named ,false
order speed final settlement artificial dispute sahara ,true
urging mekhzen acquiesce international law ,false
sps president saharawi republic ,false
anyone truly care sahara inhabitant must adhere royal initiative immediately ,true
replying national medium sahara hora forum ,false
recalled intermittent presence frente polisario member guerguerate area strictly civilian ,false
specter war threatening several month ,false
remains beacon liberation movement around world ,false
included redeployment troop occupied territory western sahara ,false
inhabitant area live locality spread across entire liberated territory ,false
order identify responsible ,false
national government ,false
kingdom partner know unified stable morocco essential stability region development throughout africa arab world ,true
contravention international law transferring thousand moroccan settler western sahara change demographic nature administrative configuration territory failure adhere full range standard un peacekeeping function crossing military wall building road guergerate area ,false
country participated ,true
namely morocco systematically reneged international agreement signed ,false
agreement establishes two restricted area km east km west moroccan military wall respectively ,false
affirms head state message ,false
advancing southern morocco southern western sahara ,false
committed moroccan occupation authority occupied city sahrawi citizen occupied part western sahara ,false
reception saharawi minister foreign affair ,false
position one line international law ,true
particularly term geographical scheme enacted ceasefire related military agreement frente polisario morocco ,false
international platform defense support moroccan sahara denounces algeria action ,true
cruelly beat activist peaceful protest rejection moroccan occupation western sahara ,false
making integral part morocco social economic fabric ,true
brahim gali regretted tuesday inaction international body security council face serious aggressive act sahrawi citizen occupied zone ,false
practice intimidation retaliation moroccan security apparatus defenseless sahrawi citizen ,false
taking consideration morocanity sahara attested historical legal level starting fundamental norm territorial integrity state ,true
diplomat underlined moroccan witness quality operation conducted unit sahrawi army el guerguarat ,false
decision transform southern province morocco major maritime hub construction dakhla atlantic port ,true
concluded sahrawi ambassador ,false
elected executive committee polisario front third congress eighth congress member national secretariat polisario front ninth congress congress ,false
frente polisario also built vital infrastructure hospital ,false
moroccan military wall lined landmines establishes wide buffer zone east along military wall ,false
port airport connected sahara region rest country ,true
thinking definitive position organization replaced old map new map clearly defines internationally recognized border ,false
underscoring sahrawi army strongly committed extending military action recovery independence ,false
open platform dispassionate serene analysis issue moroccan sahara ,true
president foundation sustainable development ,true
sahrawi president two message un sg president un security council ,false
sps head political organization frente polisario said saharawi republic intends file lawsuit morocco au court justice crime humanity jatri adduh go saying ,false
giving credence moroccan allegation status territory already decided ,false
sps sahrawi committee human right conasadh slammed crime arbitrary arrest gali nafee butasufra ,false
recovery sahara catalyst national strategy governance autonomous economic development ,true
making process integrating region mother country unique model world term development ,true
number personal official document moroccan soldier moscow russia jan ,false
much time already wasted ,true
political analyst sidi mohamed benjaafar said ,false
whole african continent ,true
issued ministry national defense offensive taken place position moroccan occupation army positioned ouarkziz mountain agha sector ,false
firing weapon military training exercise ,false
providing security water un team site ,false
received frente polisario sahrawi liberated territory ,false
alleging frente polisario violated term supervised ceasefire western sahara ,false
underlined morocco made sahara real model development ,true
addition united arab emirate ,true
adding moroccan army loss important blackout trying mislead public opinion possible ,false
violation principle enshrined charter united nation declaration principle international law friendly relation state ,true
member platform welcome satisfaction outcome adopted virtual ministerial conference ,true
civil society organisation international medium ,false
source occupied city report moroccan agent hakim amern deputy ,false
well france united state ,true
partner international federation human right fihd ,false
meeting opportunity saharawi minister highly praise botswana advanced honorable position conflict stressing important role play within regional ,false
sps head political secretariat frente polisario ,false
appointed ambassador extraordinary plenipotentiary people democratic republic algeria ,false
sps observatory protection human right defender ,false
view united nation mission region said un assume legal moral responsibility towards saharawi people ,false
flagrant violation international humanitarian law ,true
mustafa sayed mohamed abdelaziz ,false
hm king mohammed vi expressed commitment make sahara engine economic growth regional continental level ,true
put end form harassment ,false
heavy bombardment enemy position um dagan region ,false
option definitively resolve regional dispute ,true
middle moroccan territory ,false
position held election secretary general polisario front president sahrawi republic july ,false
read new approach algiers ,true
sps frente polisario called security council use authority urge morocco engage seriously constructively political process ,false
permanent member un security council guarantor world order based international law ,true
